temperature_max,temperature_min,rainfall,humidity,wind_speed,fall_armyworm,ear_rot,stem_borer
34.24178538252808,21.85235509506328,4.099033154879003,14.556722152333275,0.3324821725025618,Moderate,High,Moderate
32.65433924707204,23.81883328094026,3.386950524369153,11.897628567342933,0.3855481329284482,Low,Moderate,Moderate
34.61922134525173,17.202864852361717,2.0894455548802613,11.363602233155383,0.3207580079000038,High,Low,High
36.80757464102006,21.12593847338114,1.0295948334416392,12.993251085178096,0.369203847036096,High,Low,High
32.41461656319166,18.698714861756347,3.047334970420385,12.659630754950143,0.2106385333046214,Moderate,Moderate,High
32.41465760762705,19.02574923247061,2.590228078132625,12.09354390134545,0.4213293707372939,Moderate,Moderate,Moderate
36.94803203876848,18.81521215152226,3.3427898300415984,14.39277489491343,0.4001205475362224,High,High,Moderate
34.91858682288228,18.272018460640368,2.9527577025229546,14.910610417141022,0.3182911368931809,High,High,High
31.82631403516262,20.097043255889652,3.574329072979003,13.176813772583694,0.4659245668432405,Low,Moderate,Low
34.35640010896491,18.338099767177923,1.197147182659148,15.955060162110524,0.4937570137626558,High,Moderate,Moderate
31.84145576796885,20.54091365155968,3.976091098451489,10.71662177173299,0.2392440135631026,Low,Moderate,Moderate
31.83567561607436,19.899523781101728,2.2963994070386,12.612681081440565,0.3237275221433786,Low,Low,Moderate
33.60490567891509,19.52210390626718,5.112891308937899,11.56635535879439,0.3230857650212702,Moderate,Moderate,High
28.216799388355504,18.184872675916804,0.9662182728656484,10.0,0.3060096898891135,Moderate,Low,Moderate
28.687705418717417,18.84645733886333,4.603945704747874,12.834638628314602,0.4829474841931749,Low,Moderate,Low
31.594281176897567,21.51078245165151,2.296866175193972,12.756504983233432,0.3806173861227196,Low,Low,Moderate
30.46792219916394,21.00183437524876,1.0228729945783277,16.02689948648426,0.3735485158689389,Moderate,Moderate,Moderate
33.78561833148819,18.044889510402896,1.2741712489185175,14.261623369109556,0.2,High,Moderate,High
30.72993981119697,20.19866461085845,1.51947903770852,10.95162635134159,0.4635418030209227,Low,Low,Low
29.46924074666177,21.502774246743577,2.636248919602875,16.708185132668376,0.2760741605146528,Low,High,Moderate
36.664121922303885,16.66118943775726,2.784253232053249,15.442067391050706,0.4059932630266328,High,High,Moderate
32.43555924878366,21.08672038475987,1.1394499940921314,14.164195406937232,0.4277376937958191,Moderate,Moderate,Low
33.16882051171981,18.674752482108307,1.9634681116085255,12.547031802300337,0.5360658595838651,Moderate,Low,Moderate
29.43812953446636,21.14119733718632,5.213405537917796,11.08112152655304,0.2691179600880888,Low,Moderate,Moderate
31.639043188687044,18.473481686914965,4.591314755151068,12.255586447857894,0.2,Moderate,Moderate,High
33.27730647427467,16.39023579867096,2.6544855045110483,15.177497239408371,0.4183849544753695,Moderate,High,Moderate
30.122516056444244,16.744915124233675,2.0570052172523003,16.76917261186922,0.5800511181510855,Moderate,Moderate,Moderate
33.93924504586418,20.096169893322763,2.180046990077392,16.086487056544378,0.5238946352939438,Moderate,Moderate,Moderate
31.49840327520299,20.519445003442964,2.920276959095625,12.022301156427451,0.4209659415274626,Low,Moderate,Low
32.27076562551681,18.191366749791182,0.4658111522023915,10.760765133421977,0.3508363814367953,High,Low,High
31.495733469426508,21.27718491755475,1.6139351938649824,13.281772493822409,0.480712259663731,Low,Low,Low
37.630695461272346,16.67695987546208,0.0,10.0,0.3026453800295531,High,Low,High
32.96625693815516,19.867840402705365,2.598834683907919,13.646335428369564,0.4476357769356219,Moderate,Moderate,Moderate
30.35572267761025,17.577967600475088,2.970793909554112,12.704794827402663,0.4505470159166627,Low,Moderate,Low
35.05636228025797,18.69632778439568,1.2752203065509389,12.067926996263516,0.506020990749888,High,Low,Moderate
29.94789087507245,20.094797342632827,4.360980144935049,10.0,0.6,Low,Moderate,Low
33.52215898751189,18.279173269432096,0.161351505496488,14.027200213139434,0.4392415967178767,High,Moderate,Moderate
28.100824690300563,19.23088891154035,0.0,11.934598320676177,0.3491036374292501,Moderate,Low,Moderate
29.679534877753923,22.01258561842888,2.336677727839958,10.660166328579423,0.3974425687808006,Low,Low,Moderate
33.49215308967281,18.846216260953703,3.570647453918232,10.0,0.2230924095110882,Moderate,Moderate,High
34.84616644998852,21.67138422413028,4.525891537186803,12.944970189898727,0.3305286868910942,High,Moderate,High
33.428420702974925,17.740586290684764,1.31167360569659,16.544503193339487,0.3590717561886896,High,Moderate,High
